genome_accession	query	uniprot	refseq	evalue	target
GCF_000001215.3	rank00062_coA_proteinbinders_2870_A	P0CG69	NP_001261383	5.145e-06	AF-P0CG69-F1-model_v6
GCF_000001215.3	rank00062_coA_proteinbinders_2870_A	P0CG69	NP_523909	5.145e-06	AF-P0CG69-F1-model_v6
GCF_000001215.3	rank00062_coA_proteinbinders_2870_A	P0CG69	NP_728908	5.145e-06	AF-P0CG69-F1-model_v6
GCF_000001215.3	rank00062_coA_proteinbinders_2870_A	P0CG69	NP_995994	5.145e-06	AF-P0CG69-F1-model_v6
GCF_000001215.3	rank00062_coA_proteinbinders_2870_A	P15357	NP_476778	5.867e-06	AF-P15357-F1-model_v6
GCF_000001215.3	rank00062_coA_proteinbinders_2870_A	P18101	NP_001260018	6.69e-06	AF-P18101-F1-model_v6
GCF_000001215.3	rank00062_coA_proteinbinders_2870_A	P18101	NP_476776	6.69e-06	AF-P18101-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_001014561	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_001014562	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_001014563	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_001014564	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_001189051	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_001246628	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_001246629	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00528	NP_524934	1.179e-08	AF-P00528-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q9V9J3	NP_476849	4.337e-07	AF-Q9V9J3-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q8IPW2-1	NP_476976	1.303e-06	AF-Q8IPW2-1-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00522	NP_001287085	2.551e-06	AF-P00522-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P00522	NP_524843	2.551e-06	AF-P00522-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q6NR09-2	NP_001163352	2.712e-06	AF-Q6NR09-2-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q24145	NP_524743	3.258e-06	AF-Q24145-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P29349-4	NP_477131	3.681e-06	AF-P29349-4-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q6NR09	NP_001033991	3.913e-06	AF-Q6NR09-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q6NR09	NP_001163352	3.913e-06	AF-Q6NR09-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P29349-2	NP_477130	3.913e-06	AF-P29349-2-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P29349	NP_477130	3.913e-06	AF-P29349-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P29349	NP_477131	3.913e-06	AF-P29349-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P29349	NP_726793	3.913e-06	AF-P29349-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q9XYM0	NP_651908	5.312e-06	AF-Q9XYM0-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	Q9XYM0	NP_726549	5.312e-06	AF-Q9XYM0-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P08630-2	NP_001097120	5.647e-06	AF-P08630-2-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P08630-2	NP_476746	5.647e-06	AF-P08630-2-F1-model_v6
GCF_000001215.3	rank00065_coA_proteinbinders_4978_A	P08630-2	NP_723370	5.647e-06	AF-P08630-2-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_001014561	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_001014562	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_001014563	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_001014564	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_001189051	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_001246628	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_001246629	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	P00528	NP_524934	2.037e-07	AF-P00528-F1-model_v6
GCF_000001215.3	rank00071_coA_proteinbinders_3418_A	Q9V9J3	NP_476849	4.086e-06	AF-Q9V9J3-F1-model_v6
GCF_000001215.3	rank00079_coA_proteinbinders_2135_A	Q9VMY9	NP_649439	2.849e-06	AF-Q9VMY9-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241-3	NP_694593	4.258e-06	AF-P06241-3-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241-3	XP_005266949	4.258e-06	AF-P06241-3-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241-3	XP_047274528	4.258e-06	AF-P06241-3-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	NP_001357458	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	NP_002028	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	NP_694592	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	NP_694593	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_005266949	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_016866139	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_016866140	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_016866141	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_016866142	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274517	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274518	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274519	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274521	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274522	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274523	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274524	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274525	9.134e-06	AF-P06241-F1-model_v6
GCF_000001405.26	rank00015_coA_proteinbinders_3420_A	P06241	XP_047274526	9.134e-06	AF-P06241-F1-model_v6
