query,target,fident,alnlen,qcov,tcov,evalue,bits,uniprot
rank00001_ca4_proteinbinders_0004_A,A0A7D3UWH2,0.162,176,0.909,0.983,1.062e-05,152,
rank00001_ca4_proteinbinders_0004_A,F1BYL6_2,0.183,176,1.0,0.17,1.353e-05,144,
rank00001_ca4_proteinbinders_0004_A,D2DJX8,0.185,175,0.994,0.369,1.437e-05,151,
rank00001_ca4_proteinbinders_0004_A,A0A513QA29_1,0.142,182,0.977,0.162,1.829e-05,169,
rank00001_ca4_proteinbinders_0004_A,A0A513Q9Z0_1,0.142,170,0.932,0.125,1.829e-05,166,
rank00001_ca4_proteinbinders_0004_A,A0A8S5ULZ1,0.121,158,0.835,0.975,1.829e-05,155,
rank00001_ca4_proteinbinders_0004_A,A0A513QA09,0.152,171,0.932,0.171,2.627e-05,165,
rank00001_ca4_proteinbinders_0004_A,A0A513Q9W3,0.139,179,0.972,0.194,2.627e-05,162,
rank00001_ca4_proteinbinders_0004_A,A0A513Q9Z7,0.153,170,0.932,0.135,2.79e-05,161,
rank00001_ca4_proteinbinders_0004_A,A0A513QA57,0.149,179,0.977,0.429,2.79e-05,158,
rank00001_ca4_proteinbinders_0004_A,A0A513Q9S8,0.134,171,0.932,0.114,4.522e-05,157,
rank00001_ca4_proteinbinders_0004_A,Q2V9W5,0.133,167,0.949,0.296,4.804e-05,138,
rank00001_ca4_proteinbinders_0004_A,A0A3G5AI47,0.124,190,0.949,0.564,5.757e-05,138,
rank00001_ca4_proteinbinders_0004_A,A0A3G1RFK0_2,0.145,179,0.977,0.131,6.115e-05,153,
rank00001_ca4_proteinbinders_0004_A,A0A513QA02_1,0.14,179,0.977,0.171,6.115e-05,151,
rank00001_ca4_proteinbinders_0004_A,A0A088DIE1_1,0.177,175,0.994,0.115,6.115e-05,142,
rank00001_ca4_proteinbinders_0004_A,A0A3G4ZT21,0.125,170,0.92,0.988,6.115e-05,141,
rank00001_ca4_proteinbinders_0004_A,A0A8E3YY17_2,0.164,174,0.949,0.163,6.9e-05,130,
rank00001_ca4_proteinbinders_0004_A,A0A7G9IR66_5,0.173,149,0.847,0.108,8.784e-05,127,
rank00001_ca4_proteinbinders_0004_A,A0A8S5PR95,0.169,169,0.915,0.809,9.33e-05,127,
rank00001_ca4_proteinbinders_0004_A,A0A0K1L687,0.127,174,0.835,0.28,9.911e-05,135,
rank00003_ca4_proteinbinders_4112_A,A0A8S5MT67,0.142,134,0.832,0.243,1.263e-05,132,
rank00003_ca4_proteinbinders_4112_A,I6P9N4,0.172,155,0.839,0.252,3.401e-05,130,
rank00003_ca4_proteinbinders_4112_A,A0A6J5PIJ1,0.153,138,0.851,0.315,3.881e-05,128,
rank00003_ca4_proteinbinders_4112_A,A0A0A0RS52,0.176,143,0.845,0.301,4.732e-05,134,
rank00003_ca4_proteinbinders_4112_A,A0A291AXQ0,0.15,162,0.87,0.377,6.162e-05,114,
rank00003_ca4_proteinbinders_4112_A,A0A2H4UV28,0.128,180,0.975,0.793,7.512e-05,119,
rank00003_ca4_proteinbinders_4112_A,A0A2I2L4T3,0.135,172,0.969,0.754,7.512e-05,117,
rank00003_ca4_proteinbinders_4112_A,A0A3G5AA80,0.176,161,0.981,0.826,8.025e-05,108,
rank00004_ca4_proteinbinders_1808_A,I1VXE4,0.163,181,0.963,0.58,6.357e-05,132,
rank00004_ca4_proteinbinders_1808_A,A0A513PW51,0.129,175,0.938,0.545,9.84e-05,131,
rank00005_ca4_proteinbinders_4465_A,A0A6C0R1B8,0.225,159,0.988,0.852,5.225e-05,144,
rank00005_ca4_proteinbinders_4465_A,A0A2H4UV28,0.086,178,0.963,0.784,9.707e-05,123,
rank00008_ca4_proteinbinders_1286_A,A0A2H4UV28,0.148,185,0.994,0.815,1.386e-05,137,
rank00009_ca4_proteinbinders_0904_A,A0A1L3KK60_4,0.115,179,0.909,0.144,9.605e-06,140,
rank00009_ca4_proteinbinders_0904_A,A0A3G5AHJ8,0.147,199,0.92,0.636,2.529e-05,134,
