query,target,fident,alnlen,qcov,tcov,evalue,bits,uniprot
rank0001_ca6_proteinbinders_3013_A,AF-Q9X4H5-F1-model_v6,0.185,263,0.97,0.968,3.42e-06,136,Q9X4H5
rank0001_ca6_proteinbinders_3013_A,AF-B1W5S5-F1-model_v6,0.177,251,0.926,0.96,4.896e-06,130,B1W5S5
rank0001_ca6_proteinbinders_3013_A,AF-Q9ZBH3-F1-model_v6,0.172,254,0.937,0.972,7.008e-06,124,Q9ZBH3
rank0001_ca6_proteinbinders_3013_A,AF-P9WP03-F1-model_v6,0.171,248,0.915,0.987,9.725e-05,119,P9WP03
rank0001_ca6_proteinbinders_3013_A,AF-A0PL81-F1-model_v6,0.144,264,0.945,0.759,1.936e-05,119,A0PL81
rank0001_ca6_proteinbinders_3013_A,AF-Q8DCJ7-F1-model_v6,0.132,312,0.952,0.254,5.679e-05,119,Q8DCJ7
rank0001_ca6_proteinbinders_3013_A,AF-B8E0F1-F1-model_v6,0.185,246,0.908,0.968,5.679e-05,118,B8E0F1
rank0001_ca6_proteinbinders_3013_A,AF-Q87L95-F1-model_v6,0.126,315,0.952,0.257,9.161e-05,117,Q87L95
rank0001_ca6_proteinbinders_3013_A,AF-P37586-F1-model_v6,0.127,312,0.952,0.254,7.213e-05,117,P37586
rank0001_ca6_proteinbinders_3013_A,AF-B2HGA4-F1-model_v6,0.147,264,0.945,0.759,3.124e-05,115,B2HGA4
rank0001_ca6_proteinbinders_3013_A,AF-Q92MQ3-F1-model_v6,0.155,266,0.982,0.956,2.055e-05,114,Q92MQ3
rank0001_ca6_proteinbinders_3013_A,AF-Q9KWG2-F1-model_v6,0.156,260,0.959,0.697,1.131e-05,114,Q9KWG2
rank0001_ca6_proteinbinders_3013_A,AF-Q7M9N9-F1-model_v6,0.147,263,0.97,0.958,8.629e-05,113,Q7M9N9
rank0001_ca6_proteinbinders_3013_A,AF-A7IA09-F1-model_v6,0.169,262,0.967,0.958,4.746e-05,112,A7IA09
rank0001_ca6_proteinbinders_3013_A,AF-B2ICL0-F1-model_v6,0.143,239,0.882,0.819,3.316e-05,112,B2ICL0
rank0001_ca6_proteinbinders_3013_A,AF-B4SI67-F1-model_v6,0.148,260,0.959,0.43,5.198e-06,110,B4SI67
rank0001_ca6_proteinbinders_3013_A,AF-B1WQF1-F1-model_v6,0.107,266,0.908,0.658,3.124e-05,109,B1WQF1
rank0001_ca6_proteinbinders_3013_A,AF-Q8THS6-F1-model_v6,0.17,246,0.908,0.987,7.213e-05,106,Q8THS6
rank0001_ca6_proteinbinders_3013_A,AF-Q8UAS8-F1-model_v6,0.142,270,0.996,0.995,7.657e-05,105,Q8UAS8
rank0001_ca6_proteinbinders_3013_A,AF-B0JJJ8-F1-model_v6,0.129,265,0.904,0.653,1.618e-05,104,B0JJJ8
rank0001_ca6_proteinbinders_3013_A,AF-P58666-F1-model_v6,0.115,265,0.904,0.65,5.349e-05,103,P58666
rank0001_ca6_proteinbinders_3013_A,AF-Q8DK70-F1-model_v6,0.098,265,0.911,0.659,8.129e-05,102,Q8DK70
rank0001_ca6_proteinbinders_3013_A,AF-B2FT78-F1-model_v6,0.151,260,0.959,0.43,1.718e-05,102,B2FT78
rank0001_ca6_proteinbinders_3013_A,AF-Q89GB0-F1-model_v6,0.144,263,0.97,0.438,2.055e-05,101,Q89GB0
rank0001_ca6_proteinbinders_3013_A,AF-Q10W70-F1-model_v6,0.096,265,0.904,0.653,5.039e-05,100,Q10W70
rank0001_ca6_proteinbinders_3013_A,AF-Q9PCG3-F1-model_v6,0.148,261,0.963,0.432,4.212e-05,100,Q9PCG3
rank0001_ca6_proteinbinders_3013_A,AF-Q87CL8-F1-model_v6,0.144,263,0.97,0.426,2.055e-05,99,Q87CL8
rank0001_ca6_proteinbinders_3013_A,AF-Q3J877-F1-model_v6,0.141,260,0.959,0.436,4.746e-05,98,Q3J877
rank0001_ca6_proteinbinders_3013_A,AF-B2I596-F1-model_v6,0.139,263,0.97,0.435,2.317e-05,98,B2I596
rank0001_ca6_proteinbinders_3013_A,AF-Q3BPJ9-F1-model_v6,0.152,260,0.959,0.427,4.471e-05,96,Q3BPJ9
rank0001_ca6_proteinbinders_3013_A,AF-B8IHS8-F1-model_v6,0.143,258,0.952,0.425,6.029e-05,94,B8IHS8
rank0001_ca6_proteinbinders_3013_A,AF-P58901-F1-model_v6,0.141,260,0.959,0.427,6.4e-05,94,P58901
rank0001_ca6_proteinbinders_3013_A,AF-Q7U712-F1-model_v6,0.119,265,0.904,0.666,6.794e-05,93,Q7U712
rank0001_ca6_proteinbinders_3013_A,AF-B0RP28-F1-model_v6,0.145,260,0.959,0.427,7.657e-05,93,B0RP28
rank0001_ca6_proteinbinders_3013_A,AF-B8I1T7-F1-model_v6,0.132,260,0.959,0.439,6.794e-05,92,B8I1T7
rank0001_ca6_proteinbinders_3013_A,AF-Q4UYG1-F1-model_v6,0.145,260,0.959,0.427,9.725e-05,92,Q4UYG1
