query,target,evalue,lddt,pdb_id,chain,SCIENTIFIC_NAME
rank00001_ca4_proteinbinders_0004_A,6y4y-assembly3_C,1.876e-05,0.5235,6y4y,C,Escherichia coli K-12
rank00001_ca4_proteinbinders_0004_A,6y4z-assembly2_B,9.093e-06,0.5168,6y4z,B,Escherichia coli K-12
rank00001_ca4_proteinbinders_0004_A,2dx6-assembly2_B,3.43e-05,0.516,2dx6,B,Thermus thermophilus HB8
rank00001_ca4_proteinbinders_0004_A,5cms-assembly3_B,2.72e-06,0.5,5cms,B,Escherichia coli
rank00001_ca4_proteinbinders_0004_A,5cb5-assembly14_M,5.331e-07,0.4988,5cb5,M,Escherichia coli K-12
rank00001_ca4_proteinbinders_0004_A,6y4y-assembly1_A,6.331e-06,0.4868,6y4y,A,Escherichia coli K-12
rank00001_ca4_proteinbinders_0004_A,5e3b-assembly1_A,0.0008404,0.4675,5e3b,A,Streptomyces coelicolor A3(2)
rank00001_ca4_proteinbinders_0004_A,5m3i-assembly2_B,0.0002366,0.4587,5m3i,B,Mycobacterium tuberculosis
rank00001_ca4_proteinbinders_0004_A,3h8g-assembly1_D,0.0006215,0.4487,3h8g,D,Pseudomonas putida
rank00001_ca4_proteinbinders_0004_A,5m31-assembly1_A,0.004837,0.4452,5m31,A,Thermus aquaticus Y51MC23
rank00001_ca4_proteinbinders_0004_A,1gyt-assembly2_I,0.0004596,0.4407,1gyt,I,Escherichia coli K-12
rank00001_ca4_proteinbinders_0004_A,3h8e-assembly1_A,0.0007449,0.4405,3h8e,A,Pseudomonas putida
rank00001_ca4_proteinbinders_0004_A,2afc-assembly2_B,0.001734,0.4303,2afc,B,Bacteroides thetaiotaomicron
rank00001_ca4_proteinbinders_0004_A,2fg1-assembly1_A,0.0007912,0.4292,2fg1,A,Bacteroides thetaiotaomicron VPI-5482
rank00001_ca4_proteinbinders_0004_A,8pz0-assembly1_A,0.0007012,0.4183,8pz0,A,Pseudomonas aeruginosa PA14
rank00001_ca4_proteinbinders_0004_A,4dgh-assembly1_A,6.362,0.4104,4dgh,A,Vibrio cholerae
rank00001_ca4_proteinbinders_0004_A,4gyf-assembly1_A,0.9223,0.4036,4gyf,A,Lactococcus lactis subsp. lactis Il1403
rank00001_ca4_proteinbinders_0004_A,6jhk-assembly1_A,0.08764,0.3976,6jhk,A,Bacillus subtilis
rank00001_ca4_proteinbinders_0004_A,6ome-assembly1_A,0.4209,0.395,6ome,A,Chlamydia trachomatis D/UW-3/CX
rank00001_ca4_proteinbinders_0004_A,3kzw-assembly1_D,0.001842,0.3949,3kzw,D,Staphylococcus aureus subsp. aureus COL
rank00001_ca4_proteinbinders_0004_A,7dy1-assembly1_A,0.6421,0.3915,7dy1,A,Thermosynechococcus vestitus BP-1
rank00001_ca4_proteinbinders_0004_A,7o0i-assembly1_C,0.7245,0.3891,7o0i,C,Vibrio vulnificus
rank00001_ca4_proteinbinders_0004_A,7th5-assembly1_B,1.041,0.3868,7th5,B,Thermus thermophilus HB8
