genome_accession	query	uniprot	refseq	evalue	target
GCF_000001215.3	rank00001_ca4_proteinbinders_0004_A	Q7JUR6	NP_724597	9.454e-05	AF-Q7JUR6-F1-model_v6
GCF_000001215.3	rank00038_ca4_proteinbinders_0758_A	Q7JUR6	NP_724597	9.86e-08	AF-Q7JUR6-F1-model_v6
GCF_000001215.3	rank00042_ca4_proteinbinders_1544_A	P04388	NP_523917	7.575e-05	AF-P04388-F1-model_v6
GCF_000001215.3	rank00050_ca4_proteinbinders_4486_A	Q9W0P5	NP_612044	2.492e-05	AF-Q9W0P5-F1-model_v6
GCF_000001215.3	rank00092_ca4_proteinbinders_0441_A	P00334	NP_001027268	7.669e-05	AF-P00334-F1-model_v6
GCF_000001215.3	rank00092_ca4_proteinbinders_0441_A	P00334	NP_001027269	7.669e-05	AF-P00334-F1-model_v6
GCF_000001215.3	rank00092_ca4_proteinbinders_0441_A	P00334	NP_001027270	7.669e-05	AF-P00334-F1-model_v6
GCF_000001405.26	rank00029_ca4_proteinbinders_4407_A	Q460N3	NP_001106995	3.969e-05	AF-Q460N3-F1-model_v6
GCF_000001405.26	rank00029_ca4_proteinbinders_4407_A	Q460N3	NP_689828	3.969e-05	AF-Q460N3-F1-model_v6
GCF_000001405.26	rank00029_ca4_proteinbinders_4407_A	Q460N3	XP_047303538	3.969e-05	AF-Q460N3-F1-model_v6
GCF_000001405.26	rank00033_ca4_proteinbinders_2874_A	Q7Z5P4	NP_835236	2.439e-05	AF-Q7Z5P4-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	O75367	NP_001035248	8.19e-08	AF-O75367-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	O75367	NP_001387330	8.19e-08	AF-O75367-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	O75367	NP_004884	8.19e-08	AF-O75367-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	O75367	NP_613258	8.19e-08	AF-O75367-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	Q9NXN4	NP_060156	1.919e-06	AF-Q9NXN4-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	Q8IXQ6	NP_001139575	6.212e-06	AF-Q8IXQ6-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	Q8IXQ6	NP_001139576	6.212e-06	AF-Q8IXQ6-F1-model_v6
GCF_000001405.26	rank00038_ca4_proteinbinders_0758_A	Q8IXQ6	NP_001139577	6.212e-06	AF-Q8IXQ6-F1-model_v6
