query,target,evalue,lddt,pdb_id,chain,SCIENTIFIC_NAME
rank00000_coA_proteinbinders_8548_A,3mp8-assembly1_A,0.02088,0.7245,3mp8,A,Escherichia coli K-12
rank00000_coA_proteinbinders_8548_A,3mp6-assembly1_A,0.04003,0.7102,3mp6,A,Escherichia coli K-12
rank00000_coA_proteinbinders_8548_A,2xhc-assembly1_A,0.02978,0.7101,2xhc,A,Thermotoga maritima
rank00000_coA_proteinbinders_8548_A,3p8b-assembly1_B,0.02493,0.7091,3p8b,B,Pyrococcus furiosus
rank00000_coA_proteinbinders_8548_A,3mp1-assembly1_A,0.01968,0.7054,3mp1,A,Escherichia coli K-12
rank00000_coA_proteinbinders_8548_A,4zn1-assembly1_A,0.03352,0.7043,4zn1,A,Methanocaldococcus jannaschii DSM 2661
rank00000_coA_proteinbinders_8548_A,6nnb-assembly1_A,0.08638,0.6944,6nnb,A,Prochlorococcus marinus str. MIT 9303
rank00000_coA_proteinbinders_8548_A,9bcu-assembly1_G,0.08142,0.6926,9bcu,G,Thermococcus kodakarensis
rank00000_coA_proteinbinders_8548_A,6gov-assembly1_G,0.02088,0.6888,6gov,G,Escherichia coli O157:H7
rank00000_coA_proteinbinders_8548_A,4zn3-assembly1_A,0.04247,0.6843,4zn3,A,Methanocaldococcus jannaschii DSM 2661
rank00000_coA_proteinbinders_8548_A,1m1g-assembly3_C,0.02215,0.6842,1m1g,C,Aquifex aeolicus
rank00000_coA_proteinbinders_8548_A,5tbz-assembly2_K,0.09165,0.6754,5tbz,K,Escherichia coli O157:H7
rank00000_coA_proteinbinders_8548_A,5ycq-assembly1_A,0.04003,0.6752,5ycq,A,Escherichia coli 55989
rank00000_coA_proteinbinders_8548_A,6hum-assembly1_S,0.1161,0.6751,6hum,S,Thermosynechococcus vestitus BP-1
rank00000_coA_proteinbinders_8548_A,2kvq-assembly1_G,0.07233,0.6589,2kvq,G,Escherichia coli K-12
rank00000_coA_proteinbinders_8548_A,2mi6-assembly1_A,0.08638,0.6518,2mi6,A,Mycobacterium tuberculosis
rank00000_coA_proteinbinders_8548_A,5xym-assembly1_U,0.6459,0.6518,5xym,U,Mycolicibacterium smegmatis MC2 155
rank00000_coA_proteinbinders_8548_A,7kkv-assembly1_A,0.07233,0.6505,7kkv,A,Halalkalibacterium halodurans C-125
rank00000_coA_proteinbinders_8548_A,6a7k-assembly3_B,0.09723,0.649,6a7k,B,Thermosynechococcus vestitus BP-1
rank00000_coA_proteinbinders_8548_A,8wi8-assembly1_X,0.1161,0.6481,8wi8,X,Mycolicibacterium smegmatis MC2 155
